block,treatment,replicate_cage,day,censor,d,inf,t,fq
3,cont,1,0,0,1,0,0,0
3,cont,1,1,0,1,0,1,0
3,cont,1,2,0,1,0,2,0
3,cont,1,3,0,1,0,3,0
3,cont,1,4,0,1,0,4,1
3,cont,1,5,0,1,0,5,0
3,cont,1,6,0,1,0,6,1
3,cont,1,7,0,1,0,7,2
3,cont,1,8,0,1,0,8,2
3,cont,1,9,0,1,0,9,1
3,cont,1,10,0,1,0,10,2
3,cont,1,11,0,1,0,11,1
3,cont,1,12,0,1,0,12,2
3,cont,1,13,0,1,0,13,2
3,cont,1,14,0,1,0,14,2
3,cont,1,14,1,0,0,14,18
3,cont,2,0,0,1,0,0,0
3,cont,2,1,0,1,0,1,2
3,cont,2,2,0,1,0,2,0
3,cont,2,3,0,1,0,3,1
3,cont,2,4,0,1,0,4,0
3,cont,2,5,0,1,0,5,1
3,cont,2,6,0,1,0,6,0
3,cont,2,7,0,1,0,7,0
3,cont,2,8,0,1,0,8,1
3,cont,2,9,0,1,0,9,2
3,cont,2,10,0,1,0,10,2
3,cont,2,11,0,1,0,11,0
3,cont,2,12,0,1,0,12,0
3,cont,2,13,0,1,0,13,2
3,cont,2,14,0,1,0,14,4
3,cont,2,14,1,0,0,14,16
3,cont,3,0,0,1,0,0,0
3,cont,3,1,0,1,0,1,0
3,cont,3,2,0,1,0,2,1
3,cont,3,3,0,1,0,3,0
3,cont,3,4,0,1,0,4,0
3,cont,3,5,0,1,0,5,1
3,cont,3,6,0,1,0,6,0
3,cont,3,7,0,1,0,7,2
3,cont,3,8,0,1,0,8,1
3,cont,3,9,0,1,0,9,1
3,cont,3,10,0,1,0,10,1
3,cont,3,11,0,1,0,11,1
3,cont,3,12,0,1,0,12,0
3,cont,3,13,0,1,0,13,3
3,cont,3,14,0,1,0,14,2
3,cont,3,14,1,0,0,14,12
3,cont,4,0,0,1,0,0,0
3,cont,4,1,0,1,0,1,1
3,cont,4,2,0,1,0,2,1
3,cont,4,3,0,1,0,3,0
3,cont,4,4,0,1,0,4,0
3,cont,4,5,0,1,0,5,0
3,cont,4,6,0,1,0,6,1
3,cont,4,7,0,1,0,7,0
3,cont,4,8,0,1,0,8,2
3,cont,4,9,0,1,0,9,2
3,cont,4,10,0,1,0,10,0
3,cont,4,11,0,1,0,11,0
3,cont,4,12,0,1,0,12,3
3,cont,4,13,0,1,0,13,2
3,cont,4,14,0,1,0,14,5
3,cont,4,14,1,0,0,14,17
3,Bb06,1,0,0,1,1,0,0
3,Bb06,1,1,0,1,1,1,1
3,Bb06,1,2,0,1,1,2,0
3,Bb06,1,3,0,1,1,3,0
3,Bb06,1,4,0,1,1,4,1
3,Bb06,1,5,0,1,1,5,1
3,Bb06,1,6,0,1,1,6,2
3,Bb06,1,7,0,1,1,7,2
3,Bb06,1,8,0,1,1,8,5
3,Bb06,1,9,0,1,1,9,2
3,Bb06,1,10,0,1,1,10,2
3,Bb06,1,11,0,1,1,11,4
3,Bb06,1,12,0,1,1,12,4
3,Bb06,1,13,0,1,1,13,5
3,Bb06,1,14,0,1,1,14,4
3,Bb06,1,14,1,0,1,14,3
3,Bb06,2,0,0,1,1,0,0
3,Bb06,2,1,0,1,1,1,0
3,Bb06,2,2,0,1,1,2,2
3,Bb06,2,3,0,1,1,3,0
3,Bb06,2,4,0,1,1,4,0
3,Bb06,2,5,0,1,1,5,1
3,Bb06,2,6,0,1,1,6,3
3,Bb06,2,7,0,1,1,7,3
3,Bb06,2,8,0,1,1,8,5
3,Bb06,2,9,0,1,1,9,8
3,Bb06,2,10,0,1,1,10,4
3,Bb06,2,11,0,1,1,11,1
3,Bb06,2,12,0,1,1,12,1
3,Bb06,2,13,0,1,1,13,3
3,Bb06,2,14,0,1,1,14,0
3,Bb06,2,14,1,0,1,14,6
3,Bb06,3,0,0,1,1,0,0
3,Bb06,3,1,0,1,1,1,1
3,Bb06,3,2,0,1,1,2,1
3,Bb06,3,3,0,1,1,3,0
3,Bb06,3,4,0,1,1,4,2
3,Bb06,3,5,0,1,1,5,2
3,Bb06,3,6,0,1,1,6,1
3,Bb06,3,7,0,1,1,7,5
3,Bb06,3,8,0,1,1,8,0
3,Bb06,3,9,0,1,1,9,3
3,Bb06,3,10,0,1,1,10,6
3,Bb06,3,11,0,1,1,11,5
3,Bb06,3,12,0,1,1,12,2
3,Bb06,3,13,0,1,1,13,7
3,Bb06,3,14,0,1,1,14,3
3,Bb06,3,14,1,0,1,14,6
3,Bb06,4,0,0,1,1,0,0
3,Bb06,4,1,0,1,1,1,0
3,Bb06,4,2,0,1,1,2,0
3,Bb06,4,3,0,1,1,3,1
3,Bb06,4,4,0,1,1,4,1
3,Bb06,4,5,0,1,1,5,2
3,Bb06,4,6,0,1,1,6,2
3,Bb06,4,7,0,1,1,7,2
3,Bb06,4,8,0,1,1,8,5
3,Bb06,4,9,0,1,1,9,1
3,Bb06,4,10,0,1,1,10,3
3,Bb06,4,11,0,1,1,11,8
3,Bb06,4,12,0,1,1,12,3
3,Bb06,4,13,0,1,1,13,12
3,Bb06,4,14,0,1,1,14,3
3,Bb06,4,14,1,0,1,14,3
