Infectious dose,Food,Emergence,Age at pupation,pupation,juvenile death,age at pupation (censored),Age Death,Longevity after emergence,Sex,Spore Count
10000,100,1,9,late,0,9,23,13,F,425000
10000,50,1,8.5,late,0,8.5,13,3.5,F,22000
10000,100,1,7.5,early,0,7.5,29,20.5,F,465000
10000,50,0,,,1,3,3,,,
0,100,1,7,early,0,7,16,8,M,
0,50,1,8,late,0,8,17,8,M,
0,100,1,8.5,late,0,8.5,26,16.5,M,
0,50,1,8,late,0,8,26,17,F,
160000,100,0,,,1,6,6,,,
160000,50,1,9.5,late,0,9.5,28,17.5,F,295000
160000,100,1,9,late,0,9,14,4,F,0
160000,50,1,10,late,0,10,27,16,F,340000
40000,50,1,7.5,early,0,7.5,23,14.5,M,325000
40000,100,1,7.5,early,0,7.5,21,12.5,F,625000
40000,50,1,7.5,early,0,7.5,24,15.5,M,205000
40000,100,0,,,1,6,6,,,
5000,50,1,7.5,early,0,7.5,26,17.5,F,22000
5000,100,1,7,early,0,7,25,17,F,605000
5000,50,0,,,1,7,7,,,
5000,100,1,7,early,0,7,34,26,M,10000
20000,50,1,7.5,early,0,7.5,26,17.5,M,480000
20000,100,1,7,early,0,7,27,19,F,435000
20000,50,1,7.5,early,0,7.5,22,13.5,F,540000
20000,100,1,7,early,0,7,26,18,M,330000
20000,100,1,7.5,early,0,7.5,27,18.5,F,755000
20000,50,0,9,late,1,9,9,,,
20000,100,0,8.5,late,1,8.5,8.5,,,
20000,50,1,7.5,early,0,7.5,21,12.5,M,324000
40000,100,1,7.5,early,0,7.5,27,18.5,M,232000
40000,50,1,7,early,0,7,27,19,M,161000
40000,100,1,8,late,0,8,23,14,M,265000
40000,50,1,7,early,0,7,18,10,M,170000
80000,100,0,,,1,9,9,,,
80000,100,1,8,late,0,8,34,25,F,75000
80000,50,1,7.5,early,0,7.5,24,15.5,M,280000
80000,50,0,9,late,1,10.5,10.5,,M,2000
80000,100,1,7.5,early,0,7.5,26,17.5,F,415000
80000,50,0,,,1,8,8,,,
80000,100,1,7.5,early,0,7.5,21,12.5,F,420000
0,50,1,7.5,early,0,7.5,29,20.5,M,
0,100,1,7,early,0,7,28,20,F,
0,50,1,7.5,early,0,7.5,33,24.5,F,
0,100,1,7,early,0,7,26,18,M,
