Infectious dose,Food,Emergence,Age at pupation,pupation,juvenile death,age at pupation (censored),Age Death,Longevity after emergence,Sex,Spore Count
5000,50,1,7.5,early,0,7.5,11,2.5,M,4000
5000,100,1,7,early,0,7,29,21,F,390000
5000,50,1,8,late,0,8,31,22,M,565000
5000,100,1,6.5,early,0,6.5,20,12.5,M,223000
5000,100,1,7.5,early,0,7.5,26,17.5,M,55000
5000,50,1,7.5,early,0,7.5,24,15.5,M,50000
5000,100,1,6.5,early,0,6.5,25,17.5,F,430000
5000,50,1,7.5,early,0,7.5,24,15.5,M,90000
10000,100,1,8,late,0,8,13,4,F,40000
10000,50,1,8,late,0,8,24,15,M,240000
10000,100,1,7,early,0,7,18,10,M,184000
10000,50,1,7.5,early,0,7.5,24,15.5,F,600000
160000,100,1,7.5,early,0,7.5,22,13.5,F,395000
160000,50,1,9,late,0,9,19,9,F,410000
160000,100,1,7,early,0,7,15,7,M,340000
160000,50,1,7.5,early,0,7.5,19,10.5,M,251000
40000,50,1,8,late,0,8,27,18,F,790000
40000,100,0,,,1,6,6,,,
40000,50,1,8,late,0,8,31,22,F,880000
40000,100,1,7.5,early,0,7.5,24,15.5,M,240000
20000,50,1,8,late,0,8,17,8,M,650000
20000,100,1,7,early,0,7,19,11,M,260000
20000,50,0,7.5,early,1,8.5,8.5,,M,0
20000,100,1,8.5,late,0,8.5,22,12.5,F,330000
160000,50,1,8,late,0,8,18,9,M,835000
160000,100,1,7,early,0,7,21,13,M,515000
160000,50,1,8,late,0,8,26,17,M,710000
160000,100,1,7.5,early,0,7.5,27,18.5,F,315000
80000,100,1,7.5,early,0,7.5,26,17.5,F,465000
80000,50,1,7.5,early,0,7.5,23,14.5,M,375000
80000,100,0,7,early,1,7,7,,,
80000,50,1,7.5,early,0,7.5,24,15.5,F,585000
10000,100,1,7.5,early,0,7.5,26,17.5,F,630000
10000,50,1,8,late,0,8,22,13,F,1210000
10000,100,1,7,early,0,7,24,16,M,305000
10000,50,1,8,late,0,8,25,16,M,155000
0,100,0,,,1,7,7,,,
0,50,1,8,late,0,8,32,23,F,
0,100,1,7,early,0,7,16,8,M,
0,50,1,7.5,early,0,7.5,18,9.5,M,
80000,50,0,7.5,early,1,8.5,8.5,,F,2000
80000,100,1,8,late,0,8,25,16,F,975000
80000,50,1,8,late,0,8,25,16,M,315000
80000,100,1,7.5,early,0,7.5,29,20.5,F,490000
20000,50,1,8,late,0,8,23,14,M,340000
20000,100,0,8,late,1,8,8,,,
20000,50,1,7.5,early,0,7.5,19,10.5,M,211000
20000,100,1,7.5,early,0,7.5,32,23.5,F,110000
160000,50,1,8,late,0,8,21,12,F,850000
160000,100,1,8,late,0,8,25,16,M,765000
160000,50,1,8.5,late,0,8.5,21,11.5,M,180000
160000,100,1,7,early,0,7,23,15,F,20000
40000,100,1,7,early,0,7,20,12,F,360000
40000,50,1,7.5,early,0,7.5,20,11.5,F,780000
40000,100,1,7,early,0,7,26,18,F,795000
40000,50,1,7,early,0,7,12,4,M,90000
5000,100,0,7,early,1,7,7,,,
5000,50,1,7.5,early,0,7.5,20,11.5,M,273000
5000,100,1,7,early,0,7,27,19,M,128000
5000,50,0,,,1,8,8,,,
0,100,1,7,early,0,7,29,21,F,
0,50,1,8,late,0,8,27,18,F,
0,100,1,7,early,0,7,30,22,M,
0,50,1,7.5,early,0,7.5,30,21.5,F,
40000,50,1,8,late,0,8,24,15,F,685000
40000,100,1,7.5,early,0,7.5,29,20.5,M,275000
40000,50,1,8,late,0,8,30,21,F,350000
40000,100,1,7,early,0,7,25,17,M,235000
0,50,1,8,late,0,8,25,16,F,
0,100,1,7,early,0,7,29,21,M,
0,50,0,7.5,early,1,8.5,8.5,,M,
0,100,1,7,early,0,7,23,15,M,
10000,50,0,,,1,7,7,,,
10000,100,1,7,early,0,7,11,3,M,0
10000,50,1,8,late,0,8,29,20,F,615000
10000,100,1,7,early,0,7,13,5,M,0
80000,100,0,,,1,5,5,,,
80000,50,1,8,late,0,8,28,19,M,860000
80000,100,1,8,late,0,8,26,17,F,885000
80000,50,1,7.5,early,0,7.5,22,13.5,M,250000
10000,100,1,8,late,0,8,13,4,F,0
10000,50,1,8.5,late,0,8.5,34,24.5,F,330000
10000,100,1,7,early,0,7,24,16,M,225000
10000,50,1,8.5,late,0,8.5,24,14.5,F,180000
160000,100,0,7.5,early,1,7.5,7.5,,,
160000,50,0,,,1,5,5,,,
160000,100,1,7.5,early,0,7.5,22,13.5,M,363000
160000,50,0,,,1,3,3,,,
20000,50,1,7.5,early,0,7.5,16,7.5,M,0
20000,100,1,7,early,0,7,25,17,F,425000
20000,50,1,7.5,early,0,7.5,23,14.5,M,435000
20000,100,1,7.5,early,0,7.5,21,12.5,M,205000
20000,50,1,8,late,0,8,24,15,M,340000
20000,100,1,7.5,early,0,7.5,26,17.5,F,865000
5000,50,1,8,late,0,8,26,17,F,1125000
5000,100,1,7.5,early,0,7.5,31,22.5,F,360000
5000,50,0,8.5,late,1,8.5,8.5,,,
5000,100,1,7,early,0,7,30,22,F,305000
160000,100,1,7,early,0,7,25,17,M,320000
160000,50,0,8,late,1,11,11,,M,9000
160000,100,0,,,1,5,5,,,
160000,50,0,,,1,6,6,,,
0,100,1,7,early,0,7,27,19,M,
0,50,1,8.5,late,0,8.5,21,11.5,F,
0,100,1,7,early,0,7,22,14,M,
0,50,0,,,1,9,9,,,
80000,100,1,8,late,0,8,25,16,F,0
80000,50,1,8,late,0,8,29,20,F,230000
80000,100,1,7.5,early,0,7.5,21,12.5,M,225000
80000,50,1,7.5,early,0,7.5,26,17.5,F,196000
5000,50,1,8.5,late,0,8.5,32,22.5,F,400000
5000,100,1,7.5,early,0,7.5,34,25.5,F,195000
5000,50,1,7.5,early,0,7.5,26,17.5,M,260000
5000,100,1,7,early,0,7,26,18,M,270000
10000,50,1,8.5,late,0,8.5,22,12.5,F,1380000
10000,100,1,8,late,0,8,33,24,F,15000
10000,50,0,,,1,8,8,,,
10000,100,1,7.5,early,0,7.5,32,23.5,F,225000
40000,50,1,8,late,0,8,24,15,M,680000
40000,100,0,7.5,early,1,8.5,8.5,,M,0
40000,50,1,8,late,0,8,32,23,F,660000
40000,100,0,7.5,early,1,8.5,8.5,,M,0
10000,100,1,7.5,early,0,7.5,26,17.5,M,0
10000,50,1,7,early,0,7,24,16,M,205000
10000,100,1,7,early,0,7,25,17,F,75000
10000,50,1,7.5,early,0,7.5,20,11.5,M,215000
80000,100,1,7.5,early,0,7.5,22,13.5,M,395000
80000,50,1,8.5,late,0,8.5,20,10.5,M,400000
80000,100,1,8,late,0,8,22,13,M,150000
80000,50,1,7.5,early,0,7.5,25,16.5,M,145000
0,100,1,7,early,0,7,25,17,M,
0,50,1,7.5,early,0,7.5,33,24.5,F,
0,100,1,7.5,early,0,7.5,29,20.5,M,
0,50,1,7.5,early,0,7.5,32,23.5,F,
5000,50,1,7.5,early,0,7.5,24,15.5,M,400000
5000,100,1,7.5,early,0,7.5,30,21.5,F,290000
5000,50,1,8.5,late,0,8.5,24,14.5,F,670000
5000,100,1,7,early,0,7,31,23,F,455000
20000,50,1,8,late,0,8,30,21,F,145000
20000,100,1,7,early,0,7,23,15,M,145000
20000,50,1,7.5,early,0,7.5,25,16.5,F,640000
20000,100,1,7,early,0,7,26,18,F,530000
40000,50,1,7.5,early,0,7.5,22,13.5,M,425000
40000,100,0,,,1,7,7,,,
40000,50,1,7,early,0,7,24,16,M,225000
40000,100,1,7,early,0,7,18,10,M,0
40000,100,0,,,1,3,3,,,
40000,50,1,8.5,late,0,8.5,23,13.5,M,835000
40000,100,1,7.5,early,0,7.5,25,16.5,F,300000
40000,50,0,,,1,5,5,,,
160000,100,1,10.5,late,0,10.5,28,16.5,F,67000
160000,50,0,7.5,early,1,7.5,7.5,,,
160000,100,1,7.5,early,0,7.5,19,10.5,M,4000
160000,50,0,,,1,5,5,,,
160000,100,1,7,early,0,7,30,22,F,1100000
160000,50,1,7.5,early,0,7.5,19,10.5,F,255000
160000,100,0,7.5,early,1,7.5,7.5,,,
160000,50,1,8,late,0,8,23,14,M,1000
10000,50,1,7,early,0,7,24,16,M,180000
10000,100,1,7,early,0,7,27,19,M,103000
10000,50,1,7.5,early,0,7.5,24,15.5,M,410000
10000,100,1,7.5,early,0,7.5,34,25.5,F,1255000
80000,50,1,7.5,early,0,7.5,27,18.5,F,320000
80000,100,1,7.5,early,0,7.5,27,18.5,F,300000
80000,50,1,8,late,0,8,26,17,F,1360000
80000,100,1,7,early,0,7,18,10,M,18000
5000,50,1,8,late,0,8,27,18,F,740000
5000,100,1,7.5,early,0,7.5,28,19.5,F,0
5000,50,1,8,late,0,8,19,10,M,505000
5000,100,1,6.5,early,0,6.5,28,20.5,M,295000
80000,100,1,7.5,early,0,7.5,22,13.5,F,165000
80000,50,0,,,1,5,5,,,
80000,100,1,8.5,late,0,8.5,24,14.5,M,90000
80000,50,0,,,1,5,5,,,
20000,100,1,7,early,0,7,26,18,M,290000
20000,50,1,7.5,early,0,7.5,25,16.5,M,460000
20000,100,0,,,1,5,5,,,
20000,50,1,7.5,early,0,7.5,25,16.5,M,185000
0,100,0,,,1,10,10,,,
0,50,1,7.5,early,0,7.5,33,24.5,F,
0,100,1,7.5,early,0,7.5,29,20.5,M,
0,50,1,7.5,early,0,7.5,30,21.5,F,
0,100,1,7.5,early,0,7.5,25,16.5,M,
0,50,1,7.5,early,0,7.5,33,24.5,F,
0,100,1,6.5,early,0,6.5,32,24.5,F,
160000,50,1,7.5,early,0,7.5,22,13.5,F,410000
160000,100,0,,,1,5,5,,,
160000,50,1,8,late,0,8,24,15,M,630000
160000,100,1,8,late,0,8,24,15,M,330000
20000,50,1,8.5,late,0,8.5,27,17.5,F,455000
20000,100,1,8,late,0,8,28,19,M,57000
20000,50,1,7.5,early,0,7.5,26,17.5,F,615000
20000,100,1,7.5,early,0,7.5,30,21.5,F,260000
40000,100,1,8,late,0,8,24,15,F,555000
40000,50,0,,,1,5,5,,,
40000,100,1,8,late,0,8,16,7,M,55000
40000,50,1,7.5,early,0,7.5,21,12.5,M,245000
5000,100,1,7,early,0,7,31,23,M,0
5000,50,1,7.5,early,0,7.5,28,19.5,F,0
5000,100,1,7.5,early,0,7.5,38,29.5,F,0
10000,100,1,7.5,early,0,7.5,19,10.5,M,224000
10000,50,0,,,1,8,8,,,
10000,100,1,7,early,0,7,25,17,F,235000
10000,50,1,8,late,0,8,25,16,M,285000
80000,100,1,8,late,0,8,22,13,F,265000
80000,50,0,,,1,3,3,,,
80000,100,1,8,late,0,8,19,10,M,460000
0,50,1,7.5,early,0,7.5,34,25.5,M,
0,100,1,7.5,early,0,7.5,11,2.5,F,
0,50,1,8.5,late,0,8.5,23,13.5,F,
0,100,1,7,early,0,7,34,26,F,
20000,50,1,8,late,0,8,29,20,F,200000
20000,100,0,,,1,6,6,,,
20000,50,1,8.5,late,0,8.5,14,4.5,M,100000
5000,100,1,7,early,0,7,28,20,M,60000
5000,100,1,7,early,0,7,29,21,M,173000
5000,50,0,7.5,early,1,7.5,7.5,,,
160000,100,1,7,early,0,7,28,20,M,470000
160000,50,0,,,1,5,5,,,
160000,100,1,9,late,0,9,27,17,M,175000
160000,50,1,9,late,0,9,24,14,M,145000
10000,100,1,7.5,early,0,7.5,28,19.5,F,210000
10000,50,1,7.5,early,0,7.5,27,18.5,M,117000
0,50,1,7,early,0,7,25,17,M,
0,50,1,7.5,early,0,7.5,30,21.5,F,
0,100,1,6.5,early,0,6.5,28,20.5,F,
5000,50,0,7,early,1,8.5,8.5,,M,7000
5000,100,1,8.5,late,0,8.5,31,21.5,M,260000
5000,50,1,8.5,late,0,8.5,30,20.5,F,10000
5000,100,1,7,early,0,7,24,16,M,255000
40000,50,1,7.5,early,0,7.5,26,17.5,M,0
40000,100,1,8.5,late,0,8.5,26,16.5,M,185000
40000,50,0,,,1,3,3,,,
40000,100,1,9.5,late,0,9.5,25,14.5,F,320000
40000,100,1,8,late,0,8,24,15,F,1925000
40000,50,1,8,late,0,8,26,17,F,370000
40000,100,0,7.5,early,1,7.5,7.5,,,
40000,50,1,8,late,0,8,22,13,M,345000
20000,100,1,7.5,early,0,7.5,23,14.5,M,235000
20000,50,1,8.5,late,0,8.5,27,17.5,M,320000
20000,100,1,7,early,0,7,17,9,M,40000
20000,50,1,8,late,0,8,28,19,F,770000
10000,100,0,7,early,1,7,7,,,
10000,50,1,7.5,early,0,7.5,20,11.5,M,665000
10000,100,1,7,early,0,7,25,17,M,140000
10000,50,1,8,late,0,8,16,7,F,99000
80000,50,1,8,late,0,8,25,16,M,7000
80000,100,1,7.5,early,0,7.5,26,17.5,M,4000
80000,50,1,7.5,early,0,7.5,28,19.5,F,0
80000,100,1,7,early,0,7,31,23,M,0
80000,50,1,8,late,0,8,23,14,M,420000
80000,100,1,7.5,early,0,7.5,25,16.5,M,360000
80000,50,1,8,late,0,8,23,14,F,720000
80000,100,0,,,1,3,3,,,
160000,50,1,8,late,0,8,28,19,F,560000
160000,100,1,9,late,0,9,21,11,F,110000
160000,50,0,,,1,3,3,,,
160000,100,1,9,late,0,9,27,17,F,790000
40000,100,0,,,1,3,3,,,
40000,50,1,7.5,early,0,7.5,24,15.5,M,190000
40000,100,0,,,1,10,10,,,
40000,50,1,7.5,early,0,7.5,21,12.5,M,55000
0,100,1,7,early,0,7,26,18,M,
0,50,1,7.5,early,0,7.5,21,12.5,F,
0,100,0,6.5,early,1,6.5,6.5,,,
0,50,1,7.5,early,0,7.5,24,15.5,F,
160000,100,1,10.5,late,0,10.5,24,12.5,M,80000
160000,50,1,12,late,0,12,28,15,F,1010000
160000,100,1,9,late,0,9,26,16,F,220000
160000,50,0,,,1,7,7,,,
5000,50,0,7.5,early,1,7.5,7.5,,,
5000,100,0,,,1,5,5,,,
5000,50,1,7.5,early,0,7.5,24,15.5,M,55000
5000,100,1,7,early,0,7,25,17,F,545000
20000,50,0,,,1,9,9,,,
20000,100,1,7,early,0,7,22,14,F,590000
20000,50,1,7.5,early,0,7.5,27,18.5,F,180000
20000,100,1,7.5,early,0,7.5,15,6.5,M,34000
10000,50,0,,,1,12,12,,,
10000,100,1,7,early,0,7,22,14,F,305000
10000,50,1,7.5,early,0,7.5,24,15.5,M,185000
10000,100,0,12,late,1,12.5,12.5,,F,8000
40000,100,1,7,early,0,7,23,15,M,895000
40000,50,1,7,early,0,7,25,17,M,326000
40000,100,1,8,late,0,8,20,11,M,123000
40000,50,1,7.5,early,0,7.5,26,17.5,M,200000
20000,100,1,7.5,early,0,7.5,25,16.5,M,39000
20000,50,0,,,1,5,5,,,
20000,100,1,7,early,0,7,34,26,F,450000
20000,50,1,7.5,early,0,7.5,22,13.5,F,85000
160000,100,1,8,late,0,8,14,5,F,3000
160000,50,1,7.5,early,0,7.5,23,14.5,M,277000
160000,100,1,8,late,0,8,16,7,M,69000
160000,50,0,8.5,late,1,9.5,9.5,,,
0,50,1,7.5,early,0,7.5,25,16.5,M,
0,100,1,7,early,0,7,35,27,F,
0,50,1,7.5,early,0,7.5,32,23.5,F,
0,100,1,7,early,0,7,28,20,M,
80000,50,1,7.5,early,0,7.5,24,15.5,M,165000
80000,100,1,7.5,early,0,7.5,25,16.5,M,67000
80000,50,1,7.5,early,0,7.5,28,19.5,F,310000
80000,100,1,7.5,early,0,7.5,27,18.5,F,170000
10000,50,1,7.5,early,0,7.5,28,19.5,M,200000
10000,100,0,,,1,5,5,,,
10000,50,1,7.5,early,0,7.5,22,13.5,F,270000
10000,100,1,7.5,early,0,7.5,31,22.5,F,700000
40000,100,1,7,early,0,7,25,17,F,380000
40000,50,1,7.5,early,0,7.5,30,21.5,F,565000
40000,100,1,7,early,0,7,28,20,M,540000
40000,50,1,8,late,0,8,24,15,F,250000
5000,100,1,7.5,early,0,7.5,33,24.5,F,115000
5000,50,1,7.5,early,0,7.5,27,18.5,M,410000
5000,100,1,7,early,0,7,34,26,F,500000
5000,50,1,8.5,late,0,8.5,26,16.5,F,850000
5000,100,1,7,early,0,7,34,26,F,195000
5000,50,1,7.5,early,0,7.5,25,16.5,M,130000
5000,100,1,7,early,0,7,15,7,M,0
5000,50,1,7.5,early,0,7.5,30,21.5,M,20000
160000,50,1,8,late,0,8,29,20,F,860000
160000,100,1,7,early,0,7,25,17,M,225000
160000,50,1,10,late,0,10,14,3,M,0
160000,100,1,8.5,late,0,8.5,13,3.5,M,4000
10000,50,1,7.5,early,0,7.5,25,16.5,F,765000
10000,100,1,6.5,early,0,6.5,26,18.5,M,190000
10000,50,1,7.5,early,0,7.5,21,12.5,M,130000
10000,100,1,7,early,0,7,26,18,F,105000
80000,50,0,,,1,10,10,,,
80000,100,1,9,late,0,9,28,18,F,285000
80000,50,1,7.5,early,0,7.5,26,17.5,M,220000
80000,100,0,,,1,6,6,,,
160000,100,1,7.5,early,0,7.5,22,13.5,F,485000
160000,50,1,7.5,early,0,7.5,26,17.5,M,145000
160000,100,1,7.5,early,0,7.5,25,16.5,M,140000
160000,50,0,,,1,9,9,,,
0,100,1,7,early,0,7,28,20,F,
0,50,1,7.5,early,0,7.5,37,28.5,F,
0,100,1,6.5,early,0,6.5,33,25.5,F,
0,50,1,7.5,early,0,7.5,34,25.5,F,
20000,100,1,7,early,0,7,25,17,M,38000
20000,50,1,7.5,early,0,7.5,26,17.5,F,215000
20000,100,1,7,early,0,7,27,19,F,630000
20000,50,1,7.5,early,0,7.5,26,17.5,M,260000
20000,50,1,8.5,late,0,8.5,28,18.5,F,945000
20000,100,1,6.5,early,0,6.5,26,18.5,F,0
20000,50,1,7,early,0,7,20,12,M,215000
20000,100,1,6.5,early,0,6.5,24,16.5,M,375000
0,50,1,7.5,early,0,7.5,35,26.5,F,0
0,100,1,7.5,early,0,7.5,26,17.5,M,0
0,50,0,,,1,10,10,,,
0,100,1,7,early,0,7,10,2,F,0
10000,50,1,7.5,early,0,7.5,23,14.5,F,154000
10000,100,1,7,early,0,7,30,22,M,220000
10000,50,1,7.5,early,0,7.5,24,15.5,M,400000
10000,100,1,6.5,early,0,6.5,24,16.5,M,325000
40000,100,1,7.5,early,0,7.5,26,17.5,M,330000
40000,50,1,7.5,early,0,7.5,26,17.5,F,685000
40000,100,1,7.5,early,0,7.5,22,13.5,F,127000
40000,50,1,7.5,early,0,7.5,21,12.5,M,135000
80000,100,1,7.5,early,0,7.5,21,12.5,F,430000
80000,50,1,9,late,0,9,11,2,F,22000
80000,100,1,,,0,,29,20.2,F,1535000
80000,50,0,,,1,6,6,,,
5000,100,1,8,late,0,8,34,25,F,69000
5000,100,1,7,early,0,7,31,23,M,365000
5000,50,1,7.5,early,0,7.5,31,22.5,F,850000
40000,50,1,8.5,late,0,8.5,17,7.5,M,132000
40000,100,1,9,late,0,9,26,16,F,705000
40000,50,0,,,1,6,6,,,
40000,100,1,7,early,0,7,19,11,M,315000
5000,50,0,7.5,early,1,7.5,7.5,,,
5000,100,1,6.5,early,0,6.5,23,15.5,F,371000
5000,50,1,7.5,early,0,7.5,26,17.5,M,300000
5000,100,1,7,early,0,7,16,8,M,53000
20000,50,1,7.5,early,0,7.5,13,4.5,M,13000
20000,100,1,7.5,early,0,7.5,14,5.5,M,49000
20000,50,1,7.5,early,0,7.5,19,10.5,M,70000
20000,100,1,7,early,0,7,14,6,F,154000
160000,100,1,8,late,0,8,13,4,F,0
160000,50,1,7.5,early,0,7.5,26,17.5,F,415000
160000,100,1,8,late,0,8,27,18,F,535000
160000,50,1,7.5,early,0,7.5,27,18.5,F,1360000
80000,100,1,8,late,0,8,26,17,F,705000
80000,50,1,8,late,0,8,26,17,F,455000
80000,100,1,7.5,early,0,7.5,13,4.5,F,11000
80000,50,0,,,1,3,3,,,
0,100,1,7,early,0,7,33,25,F,
0,50,1,7.5,early,0,7.5,31,22.5,M,
0,100,1,7,early,0,7,35,27,F,
0,50,1,7,early,0,7,23,15,M,
40000,50,1,7.5,early,0,7.5,25,16.5,F,215000
40000,100,1,8.5,late,0,8.5,27,17.5,F,180000
40000,50,1,7.5,early,0,7.5,22,13.5,M,180000
40000,100,1,7.5,early,0,7.5,17,8.5,M,0
5000,50,1,7.5,early,0,7.5,26,17.5,F,200000
5000,100,1,7.5,early,0,7.5,10,2.5,F,0
5000,50,1,7.5,early,0,7.5,24,15.5,M,52000
5000,100,0,7,early,1,8.5,8.5,,M,0
10000,50,1,7.5,early,0,7.5,27,18.5,M,535000
10000,100,1,7,early,0,7,25,17,M,14000
10000,50,1,7.5,early,0,7.5,22,13.5,F,525000
10000,100,0,7.5,early,1,7.5,7.5,,,
20000,100,1,7.5,early,0,7.5,15,6.5,M,49000
20000,50,1,8,late,0,8,30,21,F,650000
20000,100,1,7,early,0,7,27,19,F,900000
20000,50,1,8,late,0,8,30,21,F,740000
80000,100,1,7.5,early,0,7.5,17,8.5,F,172000
80000,50,0,,,1,8,8,,,
80000,100,1,9,late,0,9,24,14,F,530000
80000,50,1,8.5,late,0,8.5,27,17.5,F,45000
160000,100,1,8,late,0,8,25,16,M,160000
160000,50,1,9,late,0,9,24,14,F,550000
160000,50,1,7.5,early,0,7.5,21,12.5,F,90000
5000,50,1,7.5,early,0,7.5,28,19.5,F,99000
5000,100,1,7.5,early,0,7.5,24,15.5,F,207000
5000,50,1,7.5,early,0,7.5,27,18.5,M,210000
5000,100,1,7,early,0,7,30,22,M,155000
10000,50,1,7.5,early,0,7.5,26,17.5,F,100000
10000,100,0,7,early,1,8.5,8.5,,M,4000
10000,50,1,7.5,early,0,7.5,20,11.5,M,275000
10000,100,1,7,early,0,7,22,14,F,249000
0,50,0,7.5,early,1,8.5,8.5,,,
0,100,1,7,early,0,7,23,15,M,
0,50,1,7.5,early,0,7.5,28,19.5,M,
0,100,1,7,early,0,7,33,25,F,
40000,100,0,,,1,5,5,,,
40000,50,1,8.5,late,0,8.5,21,11.5,M,115000
40000,100,1,7.5,early,0,7.5,26,17.5,M,485000
40000,50,1,8.5,late,0,8.5,26,16.5,M,140000
160000,100,1,7,early,0,7,18,10,M,535000
160000,50,1,8,late,0,8,30,21,F,90000
160000,100,1,7,early,0,7,25,17,F,13000
160000,50,0,7.5,early,1,8.5,8.5,,M,12000
20000,100,1,7,early,0,7,26,18,F,255000
20000,50,1,8.5,late,0,8.5,14,4.5,F,95000
20000,100,1,7.5,early,0,7.5,26,17.5,M,460000
20000,50,1,7.5,early,0,7.5,24,15.5,M,275000
80000,50,1,8,late,0,8,22,13,M,170000
80000,100,1,12,late,0,12,24,11,M,0
80000,50,1,9,late,0,9,18,8,F,0
80000,100,1,7,early,0,7,24,16,M,200000
0,100,0,,,1,7,7,,,
0,50,1,7.5,early,0,7.5,25,16.5,M,0
0,100,0,,,1,8,8,,,
10000,50,0,,,1,9,9,,,
10000,100,1,7,early,0,7,24,16,M,46000
10000,50,0,,,1,9,9,,,
10000,100,1,7,early,0,7,24,16,F,755000
40000,100,1,7.5,early,0,7.5,22,13.5,M,130000
40000,50,1,7.5,early,0,7.5,16,7.5,M,37000
40000,100,1,8.5,late,0,8.5,34,24.5,F,96000
40000,50,1,8,late,0,8,26,17,M,395000
160000,100,0,,,1,8,8,,,
160000,50,1,7.5,early,0,7.5,22,13.5,M,290000
160000,100,0,,,1,12,12,,,
160000,50,1,7.5,early,0,7.5,26,17.5,F,150000
80000,100,1,8,late,0,8,25,16,M,255000
80000,50,1,7.5,early,0,7.5,24,15.5,F,380000
80000,100,1,8,late,0,8,19,10,M,305000
80000,50,1,7.5,early,0,7.5,25,16.5,M,130000
20000,50,1,7.5,early,0,7.5,30,21.5,F,745000
20000,100,1,7,early,0,7,31,23,F,435000
20000,50,1,8.5,late,0,8.5,14,4.5,M,50000
20000,100,1,7.5,early,0,7.5,24,15.5,M,165000
0,50,1,7.5,early,0,7.5,25,16.5,M,
0,100,1,7,early,0,7,27,19,F,
0,50,1,7.5,early,0,7.5,36,27.5,F,
0,100,0,,,1,3,3,,,
10000,50,1,7.5,early,0,7.5,22,13.5,M,36000
10000,100,1,7.5,early,0,7.5,17,8.5,M,90000
10000,50,1,7.5,early,0,7.5,24,15.5,F,315000
10000,100,1,7.5,early,0,7.5,23,14.5,M,55000
160000,100,1,8.5,late,0,8.5,29,19.5,F,590000
160000,50,0,,,1,5,5,,,
160000,100,1,7.5,early,0,7.5,24,15.5,F,610000
160000,50,1,7.5,early,0,7.5,25,16.5,M,200000
40000,100,1,8,late,0,8,22,13,F,590000
40000,50,1,7.5,early,0,7.5,25,16.5,M,350000
40000,100,1,8.5,late,0,8.5,28,18.5,F,740000
40000,50,1,8,late,0,8,18,9,M,69000
5000,100,1,7.5,early,0,7.5,15,6.5,M,0
5000,100,1,7.5,early,0,7.5,34,25.5,F,38000
5000,50,1,7.5,early,0,7.5,24,15.5,F,780000
10000,50,1,7.5,early,0,7.5,24,15.5,F,180000
10000,100,1,7,early,0,7,27,19,M,23000
10000,50,1,7.5,early,0,7.5,19,10.5,M,235000
10000,100,1,7,early,0,7,11,3,M,0
5000,50,1,7.5,early,0,7.5,24,15.5,F,695000
5000,100,1,7,early,0,7,23,15,F,920000
5000,50,0,,,1,9,9,,,
5000,100,0,7.5,early,1,7.5,7.5,,,
20000,50,1,7.5,early,0,7.5,22,13.5,F,170000
20000,100,0,,,1,5,5,,,
20000,50,0,,,1,3,3,,,
20000,100,1,7.5,early,0,7.5,25,16.5,F,1000000
5000,100,1,7.5,early,0,7.5,27,18.5,F,795000
5000,50,1,7.5,early,0,7.5,27,18.5,F,690000
